"扫描序号","扫描仪号","批次号","kh","xz1","xz2","xz3","xz4","xz5","xz6","xz7","xz8","xz9","xz10","xz11","xz12","xz13","xz14","xz15","xz16","xz17","xz18","xz19","xz20","xz21","xz22","xz23","xz24","xz25","xz26","xz27","xz28","xz29","xz30","xz31","xz32","xz33","xz34","xz35","xz36","xz37","xz38","xz39","xz40","p1"
000296,1,1048830,"200039","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","A","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","C","D","C","D","C","\C_IMAGES\200039_00_1_p1.TIF"
000297,1,1048830,"200041","A","A","C","A","C","B","B","D","C","C","C","C","C","B","D","C","A","C","B","B","C","C","D","C","D","B","D","C","B","D","D","A","C","D","B","B","D","C","D","A","\C_IMAGES\200041_00_1_p1.TIF"
000298,1,1048830,"200042","A","A","C","D","C","C","B","D","C","C","C","C","C","D","D","A","D","C","B","B","A","C","A","C","D","A","D","A","B","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200042_00_1_p1.TIF"
000299,1,1048830,"200043","A","A","C","D","C","C","B","D","C","C","D","C","C","B","D","D","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","C","D","D","D","C","\C_IMAGES\200043_00_1_p1.TIF"
000300,1,1048830,"200044","A","A","D","D","C","C","B","C","C","C","A","C","C","B","D","C","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","D","D","A","\C_IMAGES\200044_00_1_p1.TIF"
000301,1,1048830,"200045","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200045_00_1_p1.TIF"
000302,1,1048830,"200048","A","C","C","D","A","B","B","D","C","C","A","C","C","B","C","C","A","C","B","B","A","C","A","B","D","B","D","A","B","D","B","C","C","C","D","B","D","C","D","C","\C_IMAGES\200048_00_1_p1.TIF"
000303,1,1048830,"200049","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","A","C","D","A","B","D","B","A","A","B","D","B","A","C","C","D","B","C","C","D","C","\C_IMAGES\200049_00_1_p1.TIF"
000304,1,1048830,"200051","A","A","C","D","C","C","B","D","C","C","A","B","C","D","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200051_00_1_p1.TIF"
000305,1,1048830,"200052","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","A","B","A","C","A","B","D","B","D","A","B","D","B","A","C","D","B","B","D","D","D","C","\C_IMAGES\200052_00_1_p1.TIF"
000306,1,1048830,"200053","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","C","D","C","D","B","A","C","A","C","D","B","D","D","B","D","C","A","C","C","B","B","D","C","B","C","\C_IMAGES\200053_00_1_p1.TIF"
000307,1,1048830,"200056","C","A","A","D","C","C","A","D","C","C","B","C","C","A","D","A","C","C","B","B","A","C","A","C","D","B","D","A","A","D","B","A","C","C","B","B","D","C","D","C","\C_IMAGES\200056_00_1_p1.TIF"
000308,1,1048830,"200057","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","C","A","C","D","B","B","D","D","D","C","\C_IMAGES\200057_00_1_p1.TIF"
000309,1,1048830,"200058","A","A","C","A","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","A","A","B","C","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200058_00_1_p1.TIF"
000310,1,1048830,"200059","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","A","D","B","A","C","D","C","B","C","C","D","C","\C_IMAGES\200059_00_1_p1.TIF"
000311,1,1048830,"200061","A","A","C","D","C","C","B","D","C","B","D","C","C","B","B","A","C","D","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","C","B","D","D","C","D","C","\C_IMAGES\200061_00_1_p1.TIF"
000312,1,1048830,"200062","A","A","C","D","C","C","C","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","B","D","B","D","A","B","D","A","A","C","C","D","B","D","C","D","C","\C_IMAGES\200062_00_1_p1.TIF"
000313,1,1048830,"200063","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","A","D","B","D","B","A","C","C","B","B","D","C","D","C","\C_IMAGES\200063_00_1_p1.TIF"
000314,1,1048830,"200064","A","A","C","D","C","C","B","D","C","C","A","B","C","B","D","A","C","C","B","B","A","C","A","C","D","B","A","A","B","D","B","A","C","C","B","C","C","C","B","C","\C_IMAGES\200064_00_1_p1.TIF"
000315,1,1048830,"200065","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","C","A","B","D","B","A","C","D","B","C","A","C","D","C","\C_IMAGES\200065_00_1_p1.TIF"
000316,1,1048830,"200066","A","A","C","A","C","C","B","D","C","A","D","C","C","B","D","C","D","B","B","B","A","C","A","C","D","B","D","A","B","D","D","A","C","C","B","B","C","C","D","C","\C_IMAGES\200066_00_1_p1.TIF"
000317,1,1048830,"200068","A","A","A","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","A","C","A","A","D","B","D","A","B","D","B","A","C","B","B","B","C","C","D","C","\C_IMAGES\200068_00_1_p1.TIF"
000318,1,1048830,"200069","A","A","C","D","C","C","B","D","C","C","A","C","C","D","D","A","D","B","B","B","A","C","A","C","D","B","D","A","A","D","B","A","C","C","B","B","D","C","D","A","\C_IMAGES\200069_00_1_p1.TIF"
000319,1,1048830,"200072","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","A","D","B","B","C","C","A","C","D","B","A","A","B","D","B","B","C","A","B","C","C","C","D","C","\C_IMAGES\200072_00_1_p1.TIF"
000320,1,1048830,"200073","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","D","D","B","A","A","B","D","B","A","C","D","B","B","C","C","D","A","\C_IMAGES\200073_00_1_p1.TIF"
000321,1,1048830,"200074","A","B","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","A","A","B","D","B","A","C","C","D","B","C","C","D","C","\C_IMAGES\200074_00_1_p1.TIF"
000322,1,1048830,"200076","A","A","C","D","C","C","B","D","A","C","A","C","C","B","D","A","D","C","B","B","B","C","A","B","D","B","A","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200076_00_1_p1.TIF"
000323,1,1048830,"200077","A","A","C","D","C","C","B","D","C","C","A","C","C","A","D","C","A","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","D","B","D","B","B","C","\C_IMAGES\200077_00_1_p1.TIF"
000324,1,1048830,"200078","A","A","C","D","C","C","B","D","A","C","B","C","C","B","D","C","A","C","B","B","B","C","A","A","D","B","A","A","A","D","D","A","C","D","D","B","C","C","B","C","\C_IMAGES\200078_00_1_p1.TIF"
